persona,seed,tokens_before,tokens_after,reduction_pct
react_web_search,20260520,1754,908,48.23
react_web_search,20260521,2970,1500,49.49
react_web_search,20260522,1563,1014,35.12
react_web_search,20260523,2073,1500,27.64
react_web_search,20260524,2166,1394,35.64
react_web_search,20260525,1354,908,32.94
react_web_search,20260526,2770,1500,45.85
react_web_search,20260527,1955,908,53.55
react_web_search,20260528,2472,1500,39.32
react_web_search,20260529,1861,1014,45.51
react_web_search,20260530,1967,1394,29.13
react_web_search,20260531,2570,1500,41.63
react_web_search,20260532,2664,1394,47.67
react_web_search,20260533,2173,1500,30.97
react_web_search,20260534,1661,1014,38.95
react_web_search,20260535,1755,908,48.26
react_web_search,20260536,2570,1500,41.63
react_web_search,20260537,2160,1014,53.06
react_web_search,20260538,2869,1500,47.72
react_web_search,20260539,1456,908,37.64
react_web_search,20260540,1861,1014,45.51
react_web_search,20260541,2067,1394,32.56
react_web_search,20260542,2971,1500,49.51
react_web_search,20260543,1953,908,53.51
react_web_search,20260544,2672,1500,43.86
code_fix,20260520,1533,1485,3.13
code_fix,20260521,1542,1485,3.7
code_fix,20260522,1543,1486,3.69
code_fix,20260523,1539,1485,3.51
code_fix,20260524,1541,1484,3.7
code_fix,20260525,1532,1484,3.13
code_fix,20260526,1540,1486,3.51
code_fix,20260527,1540,1486,3.51
code_fix,20260528,1539,1485,3.51
code_fix,20260529,1537,1486,3.32
code_fix,20260530,1539,1485,3.51
code_fix,20260531,1538,1484,3.51
code_fix,20260532,1538,1487,3.32
code_fix,20260533,1539,1485,3.51
code_fix,20260534,1543,1486,3.69
code_fix,20260535,1539,1485,3.51
code_fix,20260536,1538,1487,3.32
code_fix,20260537,1539,1485,3.51
code_fix,20260538,1538,1484,3.51
code_fix,20260539,1540,1486,3.51
code_fix,20260540,1538,1484,3.51
code_fix,20260541,1537,1486,3.32
code_fix,20260542,1542,1485,3.7
code_fix,20260543,1539,1485,3.51
code_fix,20260544,1540,1486,3.51
multi_turn_research,20260520,46970,3290,93.0
multi_turn_research,20260521,77411,4916,93.65
multi_turn_research,20260522,55159,3832,93.05
multi_turn_research,20260523,68013,4916,92.77
multi_turn_research,20260524,53687,4374,91.85
multi_turn_research,20260525,39991,3290,91.77
multi_turn_research,20260526,72479,4916,93.22
multi_turn_research,20260527,47795,3290,93.12
multi_turn_research,20260528,62182,4916,92.09
multi_turn_research,20260529,52372,3832,92.68
multi_turn_research,20260530,80175,5458,93.19
multi_turn_research,20260531,66401,4916,92.6
multi_turn_research,20260532,61774,4374,92.92
multi_turn_research,20260533,66894,4916,92.65
multi_turn_research,20260534,57663,3832,93.35
multi_turn_research,20260535,48326,3290,93.19
multi_turn_research,20260536,75701,5458,92.79
multi_turn_research,20260537,60451,3832,93.66
multi_turn_research,20260538,78026,4916,93.7
multi_turn_research,20260539,47463,3290,93.07
multi_turn_research,20260540,54923,3832,93.02
multi_turn_research,20260541,61179,4374,92.85
multi_turn_research,20260542,67178,4916,92.68
multi_turn_research,20260543,48345,3290,93.19
multi_turn_research,20260544,72773,4916,93.24
polling_agent,20260520,113,113,0.0
polling_agent,20260521,203,203,0.0
polling_agent,20260522,143,143,0.0
polling_agent,20260523,203,203,0.0
polling_agent,20260524,173,173,0.0
polling_agent,20260525,113,113,0.0
polling_agent,20260526,218,218,0.0
polling_agent,20260527,113,113,0.0
polling_agent,20260528,203,203,0.0
polling_agent,20260529,143,143,0.0
polling_agent,20260530,173,173,0.0
polling_agent,20260531,218,218,0.0
polling_agent,20260532,188,188,0.0
polling_agent,20260533,203,203,0.0
polling_agent,20260534,143,143,0.0
polling_agent,20260535,128,128,0.0
polling_agent,20260536,203,203,0.0
polling_agent,20260537,158,158,0.0
polling_agent,20260538,218,218,0.0
polling_agent,20260539,128,128,0.0
polling_agent,20260540,158,158,0.0
polling_agent,20260541,173,173,0.0
polling_agent,20260542,218,218,0.0
polling_agent,20260543,128,128,0.0
polling_agent,20260544,218,218,0.0
