persona,seed,messages_in_input,tool_calls_in_input,tool_results_in_input,tokens_before,tokens_after,saved_tokens,compression_ratio,elapsed_ms_total
react_web_search,20260520,8,3,3,1716,694,1022,0.4044,265.594
react_web_search,20260521,14,6,6,2249,1389,860,0.6176,6.158
react_web_search,20260522,10,4,4,1760,819,941,0.4653,4.302
react_web_search,20260523,12,5,5,2125,1078,1047,0.5073,5.429
react_web_search,20260524,12,5,5,2207,1079,1128,0.4889,5.503
react_web_search,20260525,8,3,3,1637,696,941,0.4252,3.575
react_web_search,20260526,12,5,5,2530,1078,1452,0.4261,6.349
react_web_search,20260527,8,3,3,1475,883,592,0.5986,3.971
react_web_search,20260528,14,6,6,1923,1388,535,0.7218,5.885
react_web_search,20260529,10,4,4,1759,818,941,0.465,4.028
react_web_search,20260530,12,5,5,1964,1266,698,0.6446,5.376
react_web_search,20260531,14,6,6,2330,1389,941,0.5961,5.862
react_web_search,20260532,14,6,6,2166,1201,965,0.5545,6.339
react_web_search,20260533,14,6,6,2327,1386,941,0.5956,7.168
react_web_search,20260534,10,4,4,1598,819,779,0.5125,7.369
react_web_search,20260535,10,4,4,1595,1005,590,0.6301,5.517
react_web_search,20260536,14,6,6,2814,1200,1614,0.4264,12.916
react_web_search,20260537,8,3,3,1150,882,268,0.767,16.149
react_web_search,20260538,14,6,6,2491,1388,1103,0.5572,60.945
react_web_search,20260539,8,3,3,1473,694,779,0.4711,9.454
react_web_search,20260540,8,3,3,1555,695,860,0.4469,8.246
react_web_search,20260541,12,5,5,2207,1266,941,0.5736,17.15
react_web_search,20260542,10,4,4,1840,818,1022,0.4446,16.502
react_web_search,20260543,8,3,3,1554,694,860,0.4466,4.252
react_web_search,20260544,14,6,6,2978,1202,1776,0.4036,8.154
code_fix,20260520,12,5,5,7970,672,7298,0.0843,12.95
code_fix,20260521,12,5,5,7979,681,7298,0.0853,10.756
code_fix,20260522,12,5,5,7979,681,7298,0.0853,11.535
code_fix,20260523,12,5,5,7971,673,7298,0.0844,11.565
code_fix,20260524,12,5,5,7979,681,7298,0.0853,11.637
code_fix,20260525,12,5,5,7979,681,7298,0.0853,11.374
code_fix,20260526,12,5,5,7971,673,7298,0.0844,10.939
code_fix,20260527,12,5,5,7979,681,7298,0.0853,10.504
code_fix,20260528,12,5,5,7979,681,7298,0.0853,10.901
code_fix,20260529,12,5,5,7979,681,7298,0.0853,11.002
code_fix,20260530,12,5,5,7979,681,7298,0.0853,13.155
code_fix,20260531,12,5,5,7979,681,7298,0.0853,11.752
code_fix,20260532,12,5,5,7971,673,7298,0.0844,10.953
code_fix,20260533,12,5,5,7970,672,7298,0.0843,11.618
code_fix,20260534,12,5,5,7979,681,7298,0.0853,10.684
code_fix,20260535,12,5,5,7971,673,7298,0.0844,11.825
code_fix,20260536,12,5,5,7970,672,7298,0.0843,13.423
code_fix,20260537,12,5,5,7971,673,7298,0.0844,10.62
code_fix,20260538,12,5,5,7979,681,7298,0.0853,10.631
code_fix,20260539,12,5,5,7970,672,7298,0.0843,11.258
code_fix,20260540,12,5,5,7971,673,7298,0.0844,10.999
code_fix,20260541,12,5,5,7979,681,7298,0.0853,10.59
code_fix,20260542,12,5,5,7971,673,7298,0.0844,10.932
code_fix,20260543,12,5,5,7970,672,7298,0.0843,11.341
code_fix,20260544,12,5,5,7979,681,7298,0.0853,10.471
multi_turn_research,20260520,26,6,6,13866,4658,9208,0.3359,24.212
multi_turn_research,20260521,38,9,9,22310,7764,14546,0.348,38.394
multi_turn_research,20260522,30,7,7,14810,5878,8932,0.3969,26.495
multi_turn_research,20260523,34,8,8,19124,6543,12581,0.3421,33.203
multi_turn_research,20260524,34,8,8,16319,6623,9696,0.4058,29.23
multi_turn_research,20260525,26,6,6,13441,5067,8374,0.377,24.346
multi_turn_research,20260526,34,8,8,16891,6939,9952,0.4108,31.354
multi_turn_research,20260527,26,6,6,14130,5199,8931,0.3679,24.92
multi_turn_research,20260528,38,9,9,20341,7830,12511,0.3849,40.491
multi_turn_research,20260529,30,7,7,15784,5614,10170,0.3557,40.033
multi_turn_research,20260530,42,10,10,22003,8707,13296,0.3957,40.337
multi_turn_research,20260531,38,9,9,16912,6840,10072,0.4044,31.223
multi_turn_research,20260532,38,9,9,16349,7420,8929,0.4539,31.958
multi_turn_research,20260533,38,9,9,17733,6827,10906,0.385,31.862
multi_turn_research,20260534,30,7,7,15425,5548,9877,0.3597,27.983
multi_turn_research,20260535,30,7,7,14878,5996,8882,0.403,27.662
multi_turn_research,20260536,42,10,10,22349,8562,13787,0.3831,42.41
multi_turn_research,20260537,26,6,6,10571,4855,5716,0.4593,20.847
multi_turn_research,20260538,38,9,9,22273,7170,15103,0.3219,38.671
multi_turn_research,20260539,26,6,6,11385,4988,6397,0.4381,22.533
multi_turn_research,20260540,26,6,6,13163,4591,8572,0.3488,23.48
multi_turn_research,20260541,34,8,8,19183,6491,12692,0.3384,32.996
multi_turn_research,20260542,30,7,7,15704,5732,9972,0.365,28.107
multi_turn_research,20260543,26,6,6,15054,5120,9934,0.3401,26.706
multi_turn_research,20260544,38,9,9,19438,7038,12400,0.3621,33.869
polling_agent,20260520,12,5,5,535,261,274,0.4879,1.766
polling_agent,20260521,24,11,11,1110,260,850,0.2342,2.439
polling_agent,20260522,16,7,7,726,260,466,0.3581,1.602
polling_agent,20260523,24,11,11,1111,261,850,0.2349,2.078
polling_agent,20260524,20,9,9,918,260,658,0.2832,2.117
polling_agent,20260525,12,5,5,534,260,274,0.4869,1.5
polling_agent,20260526,26,12,12,1207,261,946,0.2162,2.142
polling_agent,20260527,12,5,5,534,260,274,0.4869,1.4
polling_agent,20260528,24,11,11,1110,260,850,0.2342,2.02
polling_agent,20260529,16,7,7,726,260,466,0.3581,1.599
polling_agent,20260530,20,9,9,918,260,658,0.2832,1.942
polling_agent,20260531,26,12,12,1206,260,946,0.2156,2.206
polling_agent,20260532,22,10,10,1015,261,754,0.2571,1.95
polling_agent,20260533,24,11,11,1111,261,850,0.2349,2.008
polling_agent,20260534,16,7,7,726,260,466,0.3581,1.963
polling_agent,20260535,14,6,6,630,260,370,0.4127,1.736
polling_agent,20260536,24,11,11,1111,261,850,0.2349,2.022
polling_agent,20260537,18,8,8,822,260,562,0.3163,1.687
polling_agent,20260538,26,12,12,1206,260,946,0.2156,2.108
polling_agent,20260539,14,6,6,631,261,370,0.4136,1.758
polling_agent,20260540,18,8,8,822,260,562,0.3163,1.782
polling_agent,20260541,20,9,9,918,260,658,0.2832,1.832
polling_agent,20260542,26,12,12,1206,260,946,0.2156,2.127
polling_agent,20260543,14,6,6,631,261,370,0.4136,1.47
polling_agent,20260544,26,12,12,1206,260,946,0.2156,2.833
