persona,seed,layer,items_before,items_after,tokens_before,tokens_after,saved_tokens,elapsed_ms
react_web_search,20260520,compression:dedup_messages,8,8,1716,1716,0,0.812
react_web_search,20260520,clustering:repeated_tool_calls,8,8,1716,1716,0,0.801
react_web_search,20260520,compression:tool_results,8,8,1716,694,1022,0.633
react_web_search,20260520,reranking:composite,8,8,694,694,0,0.919
react_web_search,20260520,selection:token_budget,8,8,694,694,0,0.531
react_web_search,20260521,compression:dedup_messages,14,14,2249,2249,0,1.292
react_web_search,20260521,clustering:repeated_tool_calls,14,14,2249,2249,0,1.013
react_web_search,20260521,compression:tool_results,14,14,2249,1389,860,0.841
react_web_search,20260521,reranking:composite,14,14,1389,1389,0,0.965
react_web_search,20260521,selection:token_budget,14,14,1389,1389,0,1.009
react_web_search,20260522,compression:dedup_messages,10,10,1760,1760,0,0.779
react_web_search,20260522,clustering:repeated_tool_calls,10,10,1760,1760,0,0.785
react_web_search,20260522,compression:tool_results,10,10,1760,819,941,0.638
react_web_search,20260522,reranking:composite,10,10,819,819,0,0.63
react_web_search,20260522,selection:token_budget,10,10,819,819,0,0.618
react_web_search,20260523,compression:dedup_messages,12,12,2125,2125,0,1.066
react_web_search,20260523,clustering:repeated_tool_calls,12,12,2125,2125,0,1.018
react_web_search,20260523,compression:tool_results,12,12,2125,1078,1047,0.809
react_web_search,20260523,reranking:composite,12,12,1078,1078,0,0.825
react_web_search,20260523,selection:token_budget,12,12,1078,1078,0,0.803
react_web_search,20260524,compression:dedup_messages,12,12,2207,2207,0,0.943
react_web_search,20260524,clustering:repeated_tool_calls,12,12,2207,2207,0,0.958
react_web_search,20260524,compression:tool_results,12,12,2207,1079,1128,0.755
react_web_search,20260524,reranking:composite,12,12,1079,1079,0,1.22
react_web_search,20260524,selection:token_budget,12,12,1079,1079,0,0.841
react_web_search,20260525,compression:dedup_messages,8,8,1637,1637,0,0.699
react_web_search,20260525,clustering:repeated_tool_calls,8,8,1637,1637,0,0.712
react_web_search,20260525,compression:tool_results,8,8,1637,696,941,0.554
react_web_search,20260525,reranking:composite,8,8,696,696,0,0.541
react_web_search,20260525,selection:token_budget,8,8,696,696,0,0.517
react_web_search,20260526,compression:dedup_messages,12,12,2530,2530,0,1.09
react_web_search,20260526,clustering:repeated_tool_calls,12,12,2530,2530,0,1.141
react_web_search,20260526,compression:tool_results,12,12,2530,1078,1452,1.047
react_web_search,20260526,reranking:composite,12,12,1078,1078,0,1.244
react_web_search,20260526,selection:token_budget,12,12,1078,1078,0,0.861
react_web_search,20260527,compression:dedup_messages,8,8,1475,1475,0,0.679
react_web_search,20260527,clustering:repeated_tool_calls,8,8,1475,1475,0,0.678
react_web_search,20260527,compression:tool_results,8,8,1475,883,592,0.583
react_web_search,20260527,reranking:composite,8,8,883,883,0,0.673
react_web_search,20260527,selection:token_budget,8,8,883,883,0,0.656
react_web_search,20260528,compression:dedup_messages,14,14,1923,1923,0,0.905
react_web_search,20260528,clustering:repeated_tool_calls,14,14,1923,1923,0,0.891
react_web_search,20260528,compression:tool_results,14,14,1923,1388,535,0.789
react_web_search,20260528,reranking:composite,14,14,1388,1388,0,1.332
react_web_search,20260528,selection:token_budget,14,14,1388,1388,0,1.108
react_web_search,20260529,compression:dedup_messages,10,10,1759,1759,0,0.76
react_web_search,20260529,clustering:repeated_tool_calls,10,10,1759,1759,0,0.769
react_web_search,20260529,compression:tool_results,10,10,1759,818,941,0.599
react_web_search,20260529,reranking:composite,10,10,818,818,0,0.661
react_web_search,20260529,selection:token_budget,10,10,818,818,0,0.621
react_web_search,20260530,compression:dedup_messages,12,12,1964,1964,0,0.851
react_web_search,20260530,clustering:repeated_tool_calls,12,12,1964,1964,0,0.874
react_web_search,20260530,compression:tool_results,12,12,1964,1266,698,0.948
react_web_search,20260530,reranking:composite,12,12,1266,1266,0,0.995
react_web_search,20260530,selection:token_budget,12,12,1266,1266,0,0.934
react_web_search,20260531,compression:dedup_messages,14,14,2330,2330,0,1.037
react_web_search,20260531,clustering:repeated_tool_calls,14,14,2330,2330,0,1.04
react_web_search,20260531,compression:tool_results,14,14,2330,1389,941,0.862
react_web_search,20260531,reranking:composite,14,14,1389,1389,0,0.981
react_web_search,20260531,selection:token_budget,14,14,1389,1389,0,1.03
react_web_search,20260532,compression:dedup_messages,14,14,2166,2166,0,1.306
react_web_search,20260532,clustering:repeated_tool_calls,14,14,2166,2166,0,1.058
react_web_search,20260532,compression:tool_results,14,14,2166,1201,965,1.206
react_web_search,20260532,reranking:composite,14,14,1201,1201,0,1.012
react_web_search,20260532,selection:token_budget,14,14,1201,1201,0,0.932
react_web_search,20260533,compression:dedup_messages,14,14,2327,2327,0,1.796
react_web_search,20260533,clustering:repeated_tool_calls,14,14,2327,2327,0,1.089
react_web_search,20260533,compression:tool_results,14,14,2327,1386,941,0.909
react_web_search,20260533,reranking:composite,14,14,1386,1386,0,1.458
react_web_search,20260533,selection:token_budget,14,14,1386,1386,0,1.016
react_web_search,20260534,compression:dedup_messages,10,10,1598,1598,0,0.891
react_web_search,20260534,clustering:repeated_tool_calls,10,10,1598,1598,0,1.281
react_web_search,20260534,compression:tool_results,10,10,1598,819,779,2.4
react_web_search,20260534,reranking:composite,10,10,819,819,0,1.242
react_web_search,20260534,selection:token_budget,10,10,819,819,0,0.709
react_web_search,20260535,compression:dedup_messages,10,10,1595,1595,0,1.375
react_web_search,20260535,clustering:repeated_tool_calls,10,10,1595,1595,0,0.866
react_web_search,20260535,compression:tool_results,10,10,1595,1005,590,0.695
react_web_search,20260535,reranking:composite,10,10,1005,1005,0,0.809
react_web_search,20260535,selection:token_budget,10,10,1005,1005,0,0.754
react_web_search,20260536,compression:dedup_messages,14,14,2814,2814,0,1.243
react_web_search,20260536,clustering:repeated_tool_calls,14,14,2814,2814,0,1.252
react_web_search,20260536,compression:tool_results,14,14,2814,1200,1614,1.505
react_web_search,20260536,reranking:composite,14,14,1200,1200,0,6.177
react_web_search,20260536,selection:token_budget,14,14,1200,1200,0,1.412
react_web_search,20260537,compression:dedup_messages,8,8,1150,1150,0,0.661
react_web_search,20260537,clustering:repeated_tool_calls,8,8,1150,1150,0,3.673
react_web_search,20260537,compression:tool_results,8,8,1150,882,268,0.61
react_web_search,20260537,reranking:composite,8,8,882,882,0,3.439
react_web_search,20260537,selection:token_budget,8,8,882,882,0,5.471
react_web_search,20260538,compression:dedup_messages,14,14,2491,2491,0,25.956
react_web_search,20260538,clustering:repeated_tool_calls,14,14,2491,2491,0,12.791
react_web_search,20260538,compression:tool_results,14,14,2491,1388,1103,10.918
react_web_search,20260538,reranking:composite,14,14,1388,1388,0,2.509
react_web_search,20260538,selection:token_budget,14,14,1388,1388,0,5.731
react_web_search,20260539,compression:dedup_messages,8,8,1473,1473,0,2.5
react_web_search,20260539,clustering:repeated_tool_calls,8,8,1473,1473,0,1.041
react_web_search,20260539,compression:tool_results,8,8,1473,694,779,2.135
react_web_search,20260539,reranking:composite,8,8,694,694,0,0.621
react_web_search,20260539,selection:token_budget,8,8,694,694,0,1.325
react_web_search,20260540,compression:dedup_messages,8,8,1555,1555,0,0.936
react_web_search,20260540,clustering:repeated_tool_calls,8,8,1555,1555,0,0.789
react_web_search,20260540,compression:tool_results,8,8,1555,695,860,2.329
react_web_search,20260540,reranking:composite,8,8,695,695,0,1.013
react_web_search,20260540,selection:token_budget,8,8,695,695,0,0.633
react_web_search,20260541,compression:dedup_messages,12,12,2207,2207,0,2.995
react_web_search,20260541,clustering:repeated_tool_calls,12,12,2207,2207,0,1.459
react_web_search,20260541,compression:tool_results,12,12,2207,1266,941,9.24
react_web_search,20260541,reranking:composite,12,12,1266,1266,0,1.176
react_web_search,20260541,selection:token_budget,12,12,1266,1266,0,1.176
react_web_search,20260542,compression:dedup_messages,10,10,1840,1840,0,1.624
react_web_search,20260542,clustering:repeated_tool_calls,10,10,1840,1840,0,7.293
react_web_search,20260542,compression:tool_results,10,10,1840,818,1022,2.568
react_web_search,20260542,reranking:composite,10,10,818,818,0,2.701
react_web_search,20260542,selection:token_budget,10,10,818,818,0,0.84
react_web_search,20260543,compression:dedup_messages,8,8,1554,1554,0,0.733
react_web_search,20260543,clustering:repeated_tool_calls,8,8,1554,1554,0,0.721
react_web_search,20260543,compression:tool_results,8,8,1554,694,860,0.584
react_web_search,20260543,reranking:composite,8,8,694,694,0,0.645
react_web_search,20260543,selection:token_budget,8,8,694,694,0,0.546
react_web_search,20260544,compression:dedup_messages,14,14,2978,2978,0,1.872
react_web_search,20260544,clustering:repeated_tool_calls,14,14,2978,2978,0,2.148
react_web_search,20260544,compression:tool_results,14,14,2978,1202,1776,1.095
react_web_search,20260544,reranking:composite,14,14,1202,1202,0,0.981
react_web_search,20260544,selection:token_budget,14,14,1202,1202,0,0.927
code_fix,20260520,compression:dedup_messages,12,12,7970,7970,0,4.762
code_fix,20260520,clustering:repeated_tool_calls,12,8,7970,3782,4188,3.684
code_fix,20260520,compression:tool_results,8,8,3782,672,3110,1.204
code_fix,20260520,reranking:composite,8,8,672,672,0,0.581
code_fix,20260520,selection:token_budget,8,8,672,672,0,0.546
code_fix,20260521,compression:dedup_messages,12,12,7979,7979,0,3.86
code_fix,20260521,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.775
code_fix,20260521,compression:tool_results,8,8,3791,681,3110,1.069
code_fix,20260521,reranking:composite,8,8,681,681,0,0.51
code_fix,20260521,selection:token_budget,8,8,681,681,0,0.535
code_fix,20260522,compression:dedup_messages,12,12,7979,7979,0,3.971
code_fix,20260522,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.995
code_fix,20260522,compression:tool_results,8,8,3791,681,3110,1.203
code_fix,20260522,reranking:composite,8,8,681,681,0,0.54
code_fix,20260522,selection:token_budget,8,8,681,681,0,0.59
code_fix,20260523,compression:dedup_messages,12,12,7971,7971,0,3.705
code_fix,20260523,clustering:repeated_tool_calls,12,8,7971,3783,4188,3.393
code_fix,20260523,compression:tool_results,8,8,3783,673,3110,1.245
code_fix,20260523,reranking:composite,8,8,673,673,0,0.624
code_fix,20260523,selection:token_budget,8,8,673,673,0,0.576
code_fix,20260524,compression:dedup_messages,12,12,7979,7979,0,3.723
code_fix,20260524,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.858
code_fix,20260524,compression:tool_results,8,8,3791,681,3110,1.203
code_fix,20260524,reranking:composite,8,8,681,681,0,0.617
code_fix,20260524,selection:token_budget,8,8,681,681,0,1.101
code_fix,20260525,compression:dedup_messages,12,12,7979,7979,0,3.612
code_fix,20260525,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.772
code_fix,20260525,compression:tool_results,8,8,3791,681,3110,1.516
code_fix,20260525,reranking:composite,8,8,681,681,0,0.619
code_fix,20260525,selection:token_budget,8,8,681,681,0,0.571
code_fix,20260526,compression:dedup_messages,12,12,7971,7971,0,4.016
code_fix,20260526,clustering:repeated_tool_calls,12,8,7971,3783,4188,2.754
code_fix,20260526,compression:tool_results,8,8,3783,673,3110,1.024
code_fix,20260526,reranking:composite,8,8,673,673,0,0.525
code_fix,20260526,selection:token_budget,8,8,673,673,0,0.522
code_fix,20260527,compression:dedup_messages,12,12,7979,7979,0,3.48
code_fix,20260527,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.939
code_fix,20260527,compression:tool_results,8,8,3791,681,3110,1.071
code_fix,20260527,reranking:composite,8,8,681,681,0,0.549
code_fix,20260527,selection:token_budget,8,8,681,681,0,0.547
code_fix,20260528,compression:dedup_messages,12,12,7979,7979,0,3.818
code_fix,20260528,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.823
code_fix,20260528,compression:tool_results,8,8,3791,681,3110,1.025
code_fix,20260528,reranking:composite,8,8,681,681,0,0.542
code_fix,20260528,selection:token_budget,8,8,681,681,0,0.525
code_fix,20260529,compression:dedup_messages,12,12,7979,7979,0,4.23
code_fix,20260529,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.711
code_fix,20260529,compression:tool_results,8,8,3791,681,3110,1.039
code_fix,20260529,reranking:composite,8,8,681,681,0,0.548
code_fix,20260529,selection:token_budget,8,8,681,681,0,0.527
code_fix,20260530,compression:dedup_messages,12,12,7979,7979,0,3.784
code_fix,20260530,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.666
code_fix,20260530,compression:tool_results,8,8,3791,681,3110,1.66
code_fix,20260530,reranking:composite,8,8,681,681,0,2.412
code_fix,20260530,selection:token_budget,8,8,681,681,0,0.573
code_fix,20260531,compression:dedup_messages,12,12,7979,7979,0,3.839
code_fix,20260531,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.709
code_fix,20260531,compression:tool_results,8,8,3791,681,3110,1.101
code_fix,20260531,reranking:composite,8,8,681,681,0,0.582
code_fix,20260531,selection:token_budget,8,8,681,681,0,0.554
code_fix,20260532,compression:dedup_messages,12,12,7971,7971,0,3.576
code_fix,20260532,clustering:repeated_tool_calls,12,8,7971,3783,4188,2.749
code_fix,20260532,compression:tool_results,8,8,3783,673,3110,1.056
code_fix,20260532,reranking:composite,8,8,673,673,0,0.762
code_fix,20260532,selection:token_budget,8,8,673,673,0,0.576
code_fix,20260533,compression:dedup_messages,12,12,7970,7970,0,3.927
code_fix,20260533,clustering:repeated_tool_calls,12,8,7970,3782,4188,3.103
code_fix,20260533,compression:tool_results,8,8,3782,672,3110,1.385
code_fix,20260533,reranking:composite,8,8,672,672,0,0.619
code_fix,20260533,selection:token_budget,8,8,672,672,0,0.585
code_fix,20260534,compression:dedup_messages,12,12,7979,7979,0,3.587
code_fix,20260534,clustering:repeated_tool_calls,12,8,7979,3791,4188,2.884
code_fix,20260534,compression:tool_results,8,8,3791,681,3110,1.083
code_fix,20260534,reranking:composite,8,8,681,681,0,0.589
code_fix,20260534,selection:token_budget,8,8,681,681,0,0.568
code_fix,20260535,compression:dedup_messages,12,12,7971,7971,0,3.884
code_fix,20260535,clustering:repeated_tool_calls,12,8,7971,3783,4188,3.102
code_fix,20260535,compression:tool_results,8,8,3783,673,3110,1.139
code_fix,20260535,reranking:composite,8,8,673,673,0,0.673
code_fix,20260535,selection:token_budget,8,8,673,673,0,0.654
code_fix,20260536,compression:dedup_messages,12,12,7970,7970,0,4.161
