method,metric,n_seeds,mean,std,min,max
B1_uniform,mae,5,4605.578378378379,175.93029444230646,4497.021621621621,4918.167567567568
B1_uniform,mape,5,52.33556582756578,1.4585304839018436,50.194416827183595,53.761791108235215
B1_uniform,w20r,5,24.432432432432435,2.518013988940997,22.162162162162165,28.10810810810811
B2_type_only,mae,5,4860.196756756757,185.2317891946977,4673.637837837838,5123.156756756757
B2_type_only,mape,5,36.728924360269005,0.8720442289750656,35.66786139078394,38.001980206139066
B2_type_only,w20r,5,29.189189189189186,1.32404850961253,27.56756756756757,30.810810810810814
B3_length,mae,5,3881.5902702702706,130.25123150098702,3695.7351351351354,4014.0756756756755
B3_length,mape,5,37.44211651171326,0.6454518134396435,36.887639954503896,38.4040499995571
B3_length,w20r,5,31.891891891891895,3.544561364487569,27.027027027027028,34.5945945945946
B4_ridge_hand,mae,5,2108.264864864865,234.9260293571995,1866.1027027027028,2418.9189189189187
B4_ridge_hand,mape,5,20.031677609747874,1.9699384812410576,17.408602948469323,22.287127106669736
B4_ridge_hand,w20r,5,59.78378378378378,5.75364717437197,52.43243243243243,67.02702702702703
B5_rf_hand,mae,5,1797.8,188.21235042679191,1598.1405405405405,2062.7405405405407
B5_rf_hand,mape,5,15.603197760949403,1.1512733422320804,13.654166657480085,16.730442809013915
B5_rf_hand,w20r,5,71.35135135135135,3.953713199548054,65.4054054054054,75.67567567567568
B6_histgb_hand,mae,5,1784.869189189189,182.4533733486755,1576.8648648648648,2037.9405405405405
B6_histgb_hand,mape,5,15.521585928291731,1.1670328363635214,13.488277089452296,16.47273966603286
B6_histgb_hand,w20r,5,71.45945945945945,3.11456438721901,67.02702702702703,75.13513513513513
B7_ridge_tfidf,mae,5,1943.236756756757,167.652855165495,1799.5027027027027,2233.8756756756757
B7_ridge_tfidf,mape,5,18.24777640675969,1.3167954433914943,16.655080045864334,19.74053537209392
B7_ridge_tfidf,w20r,5,63.13513513513514,2.686437543738201,60.0,67.02702702702703
B8_histgb_tfidf,mae,5,2106.7048648648647,243.22387279028737,1876.6810810810812,2516.3783783783783
B8_histgb_tfidf,mape,5,19.380960163135477,2.079644614880411,17.486300629753703,22.851501399163745
B8_histgb_tfidf,w20r,5,64.0,5.093716319736106,56.75675675675676,69.72972972972973
TABF_gbt,mae,5,1790.7502702702702,185.0467042461821,1581.5027027027027,2044.535135135135
TABF_gbt,mape,5,15.534680618889846,1.170368079803095,13.492344860498509,16.490335810084485
TABF_gbt,w20r,5,71.67567567567568,3.9831639842033564,65.94594594594595,76.21621621621621
TABF_heuristic,mae,5,2509.945945945946,178.82400854919095,2335.0864864864866,2799.67027027027
TABF_heuristic,mape,5,18.275725674971984,0.5680095160048396,17.74490571652686,19.063174844209723
TABF_heuristic,w20r,5,65.08108108108108,0.6163110405941297,64.32432432432432,65.94594594594595
