scenario_id,tool_calls,rows_per_call,seed,msgs_before,msgs_after,tokens_before,tokens_after,saved_tokens,compression_ratio,elapsed_ms_pipeline_internal,elapsed_ms_outer,saved_usd_gpt4o_mini
tools=1_rows=10,1,10,20260520,5,5,1599,343,1256,0.2145,3.12,3.13,0.0001884
tools=1_rows=10,1,10,20260521,5,5,1601,345,1256,0.2155,2.732,2.737,0.0001884
tools=1_rows=10,1,10,20260522,5,5,1602,346,1256,0.216,2.732,2.735,0.0001884
tools=1_rows=10,1,10,20260523,5,5,1604,348,1256,0.217,2.707,2.709,0.0001884
tools=1_rows=10,1,10,20260524,5,5,1602,346,1256,0.216,2.694,2.697,0.0001884
tools=1_rows=50,1,50,20260525,5,5,7200,345,6855,0.0479,9.27,9.275,0.0010282499999999999
tools=1_rows=50,1,50,20260526,5,5,7199,343,6856,0.0476,9.389,9.393,0.0010284
tools=1_rows=50,1,50,20260527,5,5,7201,345,6856,0.0479,9.391,9.394,0.0010284
tools=1_rows=50,1,50,20260528,5,5,7201,346,6855,0.048,9.519,9.523,0.0010282499999999999
tools=1_rows=50,1,50,20260529,5,5,7202,346,6856,0.048,9.318,9.321,0.0010284
tools=1_rows=150,1,150,20260530,5,5,21202,347,20855,0.0164,25.844,25.848,0.0031282499999999995
tools=1_rows=150,1,150,20260531,5,5,21201,346,20855,0.0163,25.523,25.528,0.0031282499999999995
tools=1_rows=150,1,150,20260532,5,5,21198,344,20854,0.0162,25.739,25.742,0.0031281
tools=1_rows=150,1,150,20260533,5,5,21197,344,20853,0.0162,26.482,26.485,0.00312795
tools=1_rows=150,1,150,20260534,5,5,21198,347,20851,0.0164,25.714,25.717,0.00312765
tools=1_rows=400,1,400,20260535,5,5,56199,349,55850,0.0062,66.12,66.123,0.0083775
tools=1_rows=400,1,400,20260536,5,5,56199,344,55855,0.0061,66.538,66.543,0.00837825
tools=1_rows=400,1,400,20260537,5,5,56203,349,55854,0.0062,66.337,66.342,0.0083781
tools=1_rows=400,1,400,20260538,5,5,56200,347,55853,0.0062,66.617,66.621,0.00837795
tools=1_rows=400,1,400,20260539,5,5,56195,343,55852,0.0061,66.317,66.321,0.0083778
tools=2_rows=10,2,10,20260540,7,7,3105,593,2512,0.191,5.067,5.07,0.0003768
tools=2_rows=10,2,10,20260541,7,7,3105,593,2512,0.191,4.884,4.887,0.0003768
tools=2_rows=10,2,10,20260542,7,7,3108,596,2512,0.1918,4.925,4.927,0.0003768
tools=2_rows=10,2,10,20260543,7,7,3103,591,2512,0.1905,4.889,4.892,0.0003768
tools=2_rows=10,2,10,20260544,7,7,3105,593,2512,0.191,4.87,4.872,0.0003768
tools=2_rows=50,2,50,20260545,7,7,14305,593,13712,0.0415,17.984,17.987,0.0020568
tools=2_rows=50,2,50,20260546,7,7,14303,593,13710,0.0415,17.887,17.89,0.0020564999999999997
tools=2_rows=50,2,50,20260547,7,7,14301,591,13710,0.0413,18.137,18.14,0.0020564999999999997
tools=2_rows=50,2,50,20260548,7,7,14301,591,13710,0.0413,21.547,21.552,0.0020564999999999997
tools=2_rows=50,2,50,20260549,7,7,14308,596,13712,0.0417,18.463,18.468,0.0020568
tools=2_rows=150,2,150,20260550,7,7,42302,593,41709,0.014,51.475,51.48,0.00625635
tools=2_rows=150,2,150,20260551,7,7,42298,593,41705,0.014,51.67,51.675,0.00625575
tools=2_rows=150,2,150,20260552,7,7,42306,598,41708,0.0141,52.208,52.214,0.0062562
tools=2_rows=150,2,150,20260553,7,7,42302,598,41704,0.0141,53.793,53.8,0.006255599999999999
tools=2_rows=150,2,150,20260554,7,7,42302,593,41709,0.014,51.437,51.445,0.00625635
tools=2_rows=400,2,400,20260555,7,7,112299,596,111703,0.0053,140.704,140.711,0.016755449999999998
tools=2_rows=400,2,400,20260556,7,7,112294,593,111701,0.0053,137.984,137.993,0.01675515
tools=2_rows=400,2,400,20260557,7,7,112298,595,111703,0.0053,134.977,134.992,0.016755449999999998
tools=2_rows=400,2,400,20260558,7,7,112298,593,111705,0.0053,133.242,133.251,0.01675575
tools=2_rows=400,2,400,20260559,7,7,112294,593,111701,0.0053,133.196,133.202,0.01675515
tools=3_rows=10,3,10,20260560,9,9,4607,839,3768,0.1821,7.124,7.128,0.0005652
tools=3_rows=10,3,10,20260561,9,9,4607,839,3768,0.1821,7.151,7.154,0.0005652
tools=3_rows=10,3,10,20260562,9,9,4607,839,3768,0.1821,7.2,7.203,0.0005652
tools=3_rows=10,3,10,20260563,9,9,4609,841,3768,0.1825,7.132,7.134,0.0005652
tools=3_rows=10,3,10,20260564,9,9,4606,839,3767,0.1822,7.09,7.092,0.00056505
tools=3_rows=50,3,50,20260565,9,9,21408,841,20567,0.0393,27.802,27.806,0.0030850499999999998
tools=3_rows=50,3,50,20260566,9,9,21406,841,20565,0.0393,26.963,26.968,0.00308475
tools=3_rows=50,3,50,20260567,9,9,21410,842,20568,0.0393,27.068,27.071,0.0030851999999999997
tools=3_rows=50,3,50,20260568,9,9,21404,839,20565,0.0392,28.26,28.264,0.00308475
tools=3_rows=50,3,50,20260569,9,9,21411,844,20567,0.0394,27.537,27.545,0.0030850499999999998
tools=3_rows=150,3,150,20260570,9,9,63400,842,62558,0.0133,78.581,78.586,0.0093837
tools=3_rows=150,3,150,20260571,9,9,63406,845,62561,0.0133,78.992,78.999,0.00938415
tools=3_rows=150,3,150,20260572,9,9,63406,845,62561,0.0133,77.654,77.66,0.00938415
tools=3_rows=150,3,150,20260573,9,9,63409,847,62562,0.0134,76.266,76.272,0.0093843
tools=3_rows=150,3,150,20260574,9,9,63405,842,62563,0.0133,76.659,76.666,0.009384449999999999
tools=3_rows=400,3,400,20260575,9,9,168403,844,167559,0.005,198.834,198.838,0.025133850000000003
tools=3_rows=400,3,400,20260576,9,9,168403,845,167558,0.005,198.599,198.604,0.025133700000000002
tools=3_rows=400,3,400,20260577,9,9,168401,841,167560,0.005,197.384,197.389,0.025133999999999997
tools=3_rows=400,3,400,20260578,9,9,168395,845,167550,0.005,207.128,207.133,0.0251325
tools=3_rows=400,3,400,20260579,9,9,168398,842,167556,0.005,204.637,204.644,0.0251334
tools=5_rows=10,5,10,20260580,13,13,7620,1340,6280,0.1759,12.11,12.114,0.0009419999999999999
