scenario_id,layer,items_before,items_after,tokens_before,tokens_after,saved_tokens,elapsed_ms
tools=1_rows=10,compression:dedup_messages,5,5,1599,1599,0,0.691
tools=1_rows=10,clustering:repeated_tool_calls,5,5,1599,1599,0,0.7
tools=1_rows=10,compression:tool_results,5,5,1599,343,1256,0.468
tools=1_rows=10,reranking:composite,5,5,343,343,0,0.49
tools=1_rows=10,selection:token_budget,5,5,343,343,0,0.273
tools=1_rows=10,compression:dedup_messages,5,5,1601,1601,0,0.672
tools=1_rows=10,clustering:repeated_tool_calls,5,5,1601,1601,0,0.674
tools=1_rows=10,compression:tool_results,5,5,1601,345,1256,0.446
tools=1_rows=10,reranking:composite,5,5,345,345,0,0.268
tools=1_rows=10,selection:token_budget,5,5,345,345,0,0.254
tools=1_rows=10,compression:dedup_messages,5,5,1602,1602,0,0.675
tools=1_rows=10,clustering:repeated_tool_calls,5,5,1602,1602,0,0.674
tools=1_rows=10,compression:tool_results,5,5,1602,346,1256,0.434
tools=1_rows=10,reranking:composite,5,5,346,346,0,0.255
tools=1_rows=10,selection:token_budget,5,5,346,346,0,0.256
tools=1_rows=10,compression:dedup_messages,5,5,1604,1604,0,0.667
tools=1_rows=10,clustering:repeated_tool_calls,5,5,1604,1604,0,0.673
tools=1_rows=10,compression:tool_results,5,5,1604,348,1256,0.434
tools=1_rows=10,reranking:composite,5,5,348,348,0,0.25
tools=1_rows=10,selection:token_budget,5,5,348,348,0,0.268
tools=1_rows=10,compression:dedup_messages,5,5,1602,1602,0,0.669
tools=1_rows=10,clustering:repeated_tool_calls,5,5,1602,1602,0,0.675
tools=1_rows=10,compression:tool_results,5,5,1602,346,1256,0.43
tools=1_rows=10,reranking:composite,5,5,346,346,0,0.245
tools=1_rows=10,selection:token_budget,5,5,346,346,0,0.258
tools=1_rows=50,compression:dedup_messages,5,5,7200,7200,0,2.794
tools=1_rows=50,clustering:repeated_tool_calls,5,5,7200,7200,0,2.877
tools=1_rows=50,compression:tool_results,5,5,7200,345,6855,1.578
tools=1_rows=50,reranking:composite,5,5,345,345,0,0.3
tools=1_rows=50,selection:token_budget,5,5,345,345,0,0.254
tools=1_rows=50,compression:dedup_messages,5,5,7199,7199,0,2.927
tools=1_rows=50,clustering:repeated_tool_calls,5,5,7199,7199,0,2.88
tools=1_rows=50,compression:tool_results,5,5,7199,343,6856,1.561
tools=1_rows=50,reranking:composite,5,5,343,343,0,0.261
tools=1_rows=50,selection:token_budget,5,5,343,343,0,0.25
tools=1_rows=50,compression:dedup_messages,5,5,7201,7201,0,2.877
tools=1_rows=50,clustering:repeated_tool_calls,5,5,7201,7201,0,2.954
tools=1_rows=50,compression:tool_results,5,5,7201,345,6856,1.545
tools=1_rows=50,reranking:composite,5,5,345,345,0,0.256
tools=1_rows=50,selection:token_budget,5,5,345,345,0,0.245
tools=1_rows=50,compression:dedup_messages,5,5,7201,7201,0,3.014
tools=1_rows=50,clustering:repeated_tool_calls,5,5,7201,7201,0,2.909
tools=1_rows=50,compression:tool_results,5,5,7201,346,6855,1.559
tools=1_rows=50,reranking:composite,5,5,346,346,0,0.275
tools=1_rows=50,selection:token_budget,5,5,346,346,0,0.257
tools=1_rows=50,compression:dedup_messages,5,5,7202,7202,0,2.881
tools=1_rows=50,clustering:repeated_tool_calls,5,5,7202,7202,0,2.878
tools=1_rows=50,compression:tool_results,5,5,7202,346,6856,1.544
tools=1_rows=50,reranking:composite,5,5,346,346,0,0.254
tools=1_rows=50,selection:token_budget,5,5,346,346,0,0.25
tools=1_rows=150,compression:dedup_messages,5,5,21202,21202,0,8.342
tools=1_rows=150,clustering:repeated_tool_calls,5,5,21202,21202,0,8.378
tools=1_rows=150,compression:tool_results,5,5,21202,347,20855,4.325
tools=1_rows=150,reranking:composite,5,5,347,347,0,0.283
tools=1_rows=150,selection:token_budget,5,5,347,347,0,0.258
tools=1_rows=150,compression:dedup_messages,5,5,21201,21201,0,8.349
tools=1_rows=150,clustering:repeated_tool_calls,5,5,21201,21201,0,8.189
tools=1_rows=150,compression:tool_results,5,5,21201,346,20855,4.181
tools=1_rows=150,reranking:composite,5,5,346,346,0,0.315
tools=1_rows=150,selection:token_budget,5,5,346,346,0,0.248
tools=1_rows=150,compression:dedup_messages,5,5,21198,21198,0,8.305
tools=1_rows=150,clustering:repeated_tool_calls,5,5,21198,21198,0,8.372
tools=1_rows=150,compression:tool_results,5,5,21198,344,20854,4.322
tools=1_rows=150,reranking:composite,5,5,344,344,0,0.252
tools=1_rows=150,selection:token_budget,5,5,344,344,0,0.254
tools=1_rows=150,compression:dedup_messages,5,5,21197,21197,0,8.459
tools=1_rows=150,clustering:repeated_tool_calls,5,5,21197,21197,0,8.855
tools=1_rows=150,compression:tool_results,5,5,21197,344,20853,4.325
tools=1_rows=150,reranking:composite,5,5,344,344,0,0.257
tools=1_rows=150,selection:token_budget,5,5,344,344,0,0.247
tools=1_rows=150,compression:dedup_messages,5,5,21198,21198,0,8.328
tools=1_rows=150,clustering:repeated_tool_calls,5,5,21198,21198,0,8.342
tools=1_rows=150,compression:tool_results,5,5,21198,347,20851,4.288
tools=1_rows=150,reranking:composite,5,5,347,347,0,0.252
tools=1_rows=150,selection:token_budget,5,5,347,347,0,0.255
tools=1_rows=400,compression:dedup_messages,5,5,56199,56199,0,21.662
tools=1_rows=400,clustering:repeated_tool_calls,5,5,56199,56199,0,21.872
tools=1_rows=400,compression:tool_results,5,5,56199,349,55850,11.158
tools=1_rows=400,reranking:composite,5,5,349,349,0,0.289
tools=1_rows=400,selection:token_budget,5,5,349,349,0,0.264
tools=1_rows=400,compression:dedup_messages,5,5,56199,56199,0,21.614
tools=1_rows=400,clustering:repeated_tool_calls,5,5,56199,56199,0,22.101
tools=1_rows=400,compression:tool_results,5,5,56199,344,55855,11.24
tools=1_rows=400,reranking:composite,5,5,344,344,0,0.264
tools=1_rows=400,selection:token_budget,5,5,344,344,0,0.245
tools=1_rows=400,compression:dedup_messages,5,5,56203,56203,0,21.726
tools=1_rows=400,clustering:repeated_tool_calls,5,5,56203,56203,0,21.894
tools=1_rows=400,compression:tool_results,5,5,56203,349,55854,11.2
tools=1_rows=400,reranking:composite,5,5,349,349,0,0.298
tools=1_rows=400,selection:token_budget,5,5,349,349,0,0.271
tools=1_rows=400,compression:dedup_messages,5,5,56200,56200,0,21.946
tools=1_rows=400,clustering:repeated_tool_calls,5,5,56200,56200,0,22.023
tools=1_rows=400,compression:tool_results,5,5,56200,347,55853,11.107
tools=1_rows=400,reranking:composite,5,5,347,347,0,0.261
tools=1_rows=400,selection:token_budget,5,5,347,347,0,0.252
tools=1_rows=400,compression:dedup_messages,5,5,56195,56195,0,21.74
tools=1_rows=400,clustering:repeated_tool_calls,5,5,56195,56195,0,21.887
tools=1_rows=400,compression:tool_results,5,5,56195,343,55852,11.063
tools=1_rows=400,reranking:composite,5,5,343,343,0,0.264
tools=1_rows=400,selection:token_budget,5,5,343,343,0,0.249
tools=2_rows=10,compression:dedup_messages,7,7,3105,3105,0,1.279
tools=2_rows=10,clustering:repeated_tool_calls,7,7,3105,3105,0,1.27
tools=2_rows=10,compression:tool_results,7,7,3105,593,2512,0.793
tools=2_rows=10,reranking:composite,7,7,593,593,0,0.503
tools=2_rows=10,selection:token_budget,7,7,593,593,0,0.424
tools=2_rows=10,compression:dedup_messages,7,7,3105,3105,0,1.256
tools=2_rows=10,clustering:repeated_tool_calls,7,7,3105,3105,0,1.261
tools=2_rows=10,compression:tool_results,7,7,3105,593,2512,0.789
tools=2_rows=10,reranking:composite,7,7,593,593,0,0.384
tools=2_rows=10,selection:token_budget,7,7,593,593,0,0.42
tools=2_rows=10,compression:dedup_messages,7,7,3108,3108,0,1.275
tools=2_rows=10,clustering:repeated_tool_calls,7,7,3108,3108,0,1.273
tools=2_rows=10,compression:tool_results,7,7,3108,596,2512,0.789
tools=2_rows=10,reranking:composite,7,7,596,596,0,0.379
tools=2_rows=10,selection:token_budget,7,7,596,596,0,0.42
tools=2_rows=10,compression:dedup_messages,7,7,3103,3103,0,1.245
tools=2_rows=10,clustering:repeated_tool_calls,7,7,3103,3103,0,1.262
