metric,value
extracted_at_utc,2026-05-23T22:49:29+00:00
turns_with_token_metadata,83
total_input_tokens,2303819
total_output_tokens,148071
total_tokens,2451890
total_llm_calls,537
total_tool_calls,283
total_duration_seconds,4745.0
llm_calls_per_turn_mean,6.47
llm_calls_per_turn_median,6.0
llm_calls_per_turn_p95,13.899999999999991
llm_calls_per_turn_max,22
input_tokens_per_turn_mean,27756.9
input_tokens_per_turn_median,22382.0
input_tokens_per_turn_p95,64922.399999999994
input_tokens_per_turn_max,90637
tool_calls_per_turn_mean,3.41
tool_calls_per_turn_median,3.0
tool_calls_per_turn_p95,7.8999999999999915
tool_calls_per_turn_max,12
